City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,narsaq,60.92,-46.05,50.0,19,0,21.92,GL,1589008450
88,makat,47.65,53.35,81.5,25,69,9.53,KZ,1589008450
89,poum,-20.23,164.02,76.01,71,15,7.74,NC,1589008450
90,sharjah,25.36,55.4,91.0,48,0,3.36,AE,1589008451
91,asfi,32.3,-9.24,62.94,75,0,3.33,MA,1589008451
92,karasjok,69.47,25.51,37.4,44,100,18.34,NO,1589008451
93,clovis,36.83,-119.7,77.0,47,75,4.7,US,1589008393
94,khandyga,62.67,135.6,42.26,70,95,2.75,RU,1589008452
95,papara,-3.98,-38.73,78.01,83,20,2.24,BR,1589008452
96,port lincoln,-34.73,135.87,56.52,58,61,18.75,AU,1589008452
97,san patricio,19.22,-104.7,74.75,69,0,4.56,MX,1589008452
98,dalupaon,13.55,122.95,88.95,56,1,5.39,PH,1589008453
99,geraldton,-28.77,114.6,75.2,29,100,9.17,AU,1589008453
100,renfrew,55.87,-4.39,54.0,93,73,2.24,GB,1589008453
101,okato,-39.2,173.88,53.01,81,5,1.01,NZ,1589008454
102,carnarvon,-24.87,113.63,80.82,34,100,8.88,AU,1589008454
103,kurumkan,54.3,110.3,51.03,41,0,10.2,RU,1589008454
104,esperance,-33.87,121.9,59.0,62,90,8.05,AU,1589008454
105,georgetown,5.41,100.34,89.6,70,40,8.05,MY,1589008329
106,kavieng,-2.57,150.8,84.87,74,10,9.04,PG,1589008455
107,bambous virieux,-20.34,57.76,82.99,65,40,9.17,MU,1589008456
108,torbay,47.67,-52.73,39.0,100,90,12.75,CA,1589008456
109,los llanos de aridane,28.66,-17.92,66.2,72,20,5.82,ES,1589008456
110,punta arenas,-53.15,-70.92,44.01,93,75,5.82,CL,1589008456
111,mount gambier,-37.83,140.77,51.8,66,40,20.8,AU,1589008457
112,paamiut,61.99,-49.67,37.17,81,100,7.25,GL,1589008457
113,kaduqli,11.02,29.72,90.14,40,100,6.6,SD,1589008457
114,padang,-0.95,100.35,89.49,55,93,5.75,ID,1589008457
115,puerto ayora,-0.74,-90.35,75.99,94,83,1.99,EC,1589008458
116,east london,-33.02,27.91,64.4,88,0,4.7,ZA,1589008458
117,maragheh,37.39,46.24,69.8,40,81,6.93,IR,1589008458
118,diego de almagro,-26.37,-70.05,55.63,62,0,2.08,CL,1589008458
119,milicz,51.53,17.27,57.2,58,64,2.24,PL,1589008459
120,santa isabel,-23.32,-46.22,53.6,93,75,4.7,BR,1589008459
121,port augusta,-32.5,137.77,62.6,36,6,14.99,AU,1589008459
122,gobabis,-22.45,18.97,60.8,38,0,5.82,NA,1589008460
123,pangkalanbuun,-2.68,111.62,86.32,69,99,2.19,ID,1589008460
124,hovd,48.01,91.64,52.0,39,17,6.98,MN,1589008460
